Year,Contract_interest_rate(%),Initial_fees_and_charges(%),Effective_interest_rate(%),Term_to_maturity,Purchase_price,Loan_to_price_ratio(%),Adjustable_rate_loans(%)
1978,8.51,0.46,8.58,24.7,51,69,NA
1979,9.56,0.49,9.65,25,59.9,66,NA
1980,12.09,1.23,12.33,25.4,63,67.4,NA
1981,14.85,2.57,15.4,25.1,68.9,65.9,NA
1982,15.42,2.82,16.04,24.4,76.7,65.1,NA
1983,12.31,3.07,12.9,25.2,86.4,67.3,NA
1984,11.84,3.35,12.48,26.2,91.6,71.4,NA
1985,11.15,2.72,11.65,25.6,109.5,71.2,NA
1986,9.79,2.21,10.18,24.9,126.3,70,34
1987,8.58,2.01,8.91,27.1,142.7,72.4,60
1988,8.87,1.84,9.17,27.8,155.2,72.36,65
1989,9.84,1.62,10.11,28.1,154.6,72,42
1990,9.94,1.4,10.18,27,151,70.5,25
1991,9.4,1.21,9.6,25.9,147.1,70.6,18
1992,8.26,1.29,8.49,24.9,150.4,72.4,14
1993,7.19,0.9,7.34,23.7,154.5,71.6,20
1994,7.47,1.02,7.64,25.5,158.9,74.7,35
1995,7.84,0.83,7.97,26.7,156.4,76.3,23
1996,7.73,0.55,7.81,26,163,75.9,17
1997,7.6,0.87,7.74,27,177.9,77.2,16
1998,7.03,0.81,7.16,27.7,195.5,77.8,9
1999,7.32,0.49,7.4,27.4,215.8,75.5,13
2000,8.1,0.47,8.17,27.8,237,74.8,19
2001,7.02,0.27,7.06,27.6,269.9,74.5,12
2002,6.47,0.2,6.5,27.5,325.8,73.4,18
2003,5.63,0.21,5.66,26.1,300.4,70.8,12
2004,5.7,0.28,5.75,27.3,298.1,73.1,23
2005,5.78,0.29,5.82,28.14,331.93,73.03,20
2006,6.44,0.25,6.47,28.57,327.69,75.12,16
2007,6.4,0.31,6.45,29.13,337.74,77.63,11
2008,6.03,0.39,6.09,28.91,360.32,76.37,NA*
2009,5.06,0.59,5.15,28.58,374.2,73.67,1
2010,4.8,0.5,4.87,28.12,336.11,73.84,2
2011,4.55,0.28,4.59,28.3,223.2,81.79,NA*
2012*,3.62,0.76,3.71,26.88,446.96,71.88,11
